nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
Sra. Rafael Pedroza Saavedra,15508172,4,Sra.saavedra@viajes.cl,Sra.saavedra,KVEIz2JhW9v,\+56 9 5440 7387,Nocturno,Colmena,Part time,497789,57039,2025-04-29,280000,5,No disponible,36319,Ceuta,Alcoy,2025-09-20,2025-09-21,32,2832,56000,Omnibus de México,Cama,"{Calefacción,TV,""Asientos reclinables""}",{},,{}
Andrea Valadez Feliciano,9855588,9,Andreafeliciano@viajes.cl,andrea2871,0WgGpGIDG,\+56 9 5440 9615,Diurno,Más vida,Full time,497790,57039,2025-03-05,310000,5,No disponible,25982,Alcoy,Torremolinos,2025-09-21,2025-09-22,31,1918,62000,FlixBus,Cama,"{Agua,Comida,""Aire acondicionado""}",{},,{}
Marisol Gurule Ayala,24637668,9,Marisolayala@viajes.cl,maguay,hZnb75lsJ,\+56 9 6705 6332,Nocturno,Banmédica,Part time,497798,56386,2025-01-22,388000,2,No disponible,61605,Benalmádena,Valencia,2025-08-11,2025-08-12,41,2612,194000,BoltBus,Cama,"{""Asientos reclinables"",Calefacción,Comida}",{},,{}
Natalia Preciado Abrego,27923142,2,natalia7232@viajes.cl,natalia7629,dYINSG2OTqRucz,\+56 2 6217 4391,Nocturno,Banmédica,Full time,497799,56386,2025-03-10,252000,2,No disponible,92746,Valencia,Sagunto,2025-08-12,2025-08-12,43,1416,126000,Buses Romani,Cama,"{Baño,Comida,""Asientos reclinables""}",{},,{}
David Rendón Grijalva,8713746,5,daregr@viajes.cl,daregr,kXURY8Rg,\+56 9 1212 3690,Diurno,Colmena,Full time,497803,56009,2025-02-27,2065000,7,No disponible,11553,Viladecans,Roquetas de Mar,2026-01-15,2026-01-17,39,3930,295000,ZS (Eslovenia),,"{TV,""Aire acondicionado"",Baño,Agua,Calefacción,Comida,Wifi}",{},,{}
Sra. Carmen Tórrez Hernández,25890391,9,Sra.hernández@viajes.cl,sra.3251,l2i14J2VyYLbRD,\+56 2 1660 3006,Nocturno,Más vida,Part time,497804,56206,2025-04-25,708000,4,No disponible,4423,La Coruña,Sanlúcar de Barrameda,2026-07-12,2026-07-13,49,2238,177000,Crucero del Norte,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Agua}",{},,{}
Antonio Gaitán Alaniz,6901376,7,Antonioalaniz@viajes.cl,antonio7679,h6zTjFlPa5,\+56 2 7329 5923,Diurno,Banmédica,Full time,497805,56206,2026-01-04,200000,4,No disponible,4287,Sanlúcar de Barrameda,Valdemoro,2026-07-13,2026-07-14,39,2333,50000,Plusmar,Cama,"{Comida,Baño,Agua}",{},,{}
Mario Valladares Laboy,28973237,3,mario3911@viajes.cl,mavala,gxjdWeSVeS4B5F,\+56 2 4501 1308,Diurno,Banmédica,Part time,497811,56966,2025-04-12,504000,3,No disponible,6624,Gijón,Torrejón de Ardoz,2025-06-03,2025-06-05,13,4194,168000,ŽFBH (Bosnia y Herzegovina),,"{TV,Wifi,""Aire acondicionado"",Calefacción,Agua,Baño,""Asientos reclinables""}",{},,"{""Palma de Mallorca"",Alcobendas,Fuenlabrada,""Jerez de la Frontera"",Coslada}"
Andrés Urías Águilar,22807405,5,anurág@viajes.cl,anurág,N9luQ6vuhn1UP,\+56 9 0150 0185,Nocturno,Fonasa,Part time,497812,56966,2025-03-29,930000,3,No disponible,51662,Torrejón de Ardoz,La Línea de la Concepción,2025-06-05,2025-06-07,70,4080,310000,NSB (Noruega),,"{Wifi,Baño,""Aire acondicionado"",Calefacción,Comida,""Asientos reclinables"",Agua}",{},,"{Reus,Gandía,""Chiclana de la Frontera""}"
Alberto Correa Melgar,20680435,1,Albertomelgar@viajes.cl,alcome,8mXkRjfwT7B3,\+56 9 4635 7396,Diurno,Fonasa,Full time,497813,56966,2025-05-25,435000,3,No disponible,88882,La Línea de la Concepción,Paterna,2025-06-07,2025-06-07,3,124,145000,TGV (SNCF),,{},{},,{}
