nombre,run,dv,correo,telefono_contacto,jornada,isapre,contrato,fecha,monto,cantidad_personas,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Lilia Gracia Vega",99.999.999-K,3,hector_feeney@viajes.cl,"\+56 9 3429 3695",Nocturno,Fonasa,"Full time",2025-09-25,809000,-6,90629,Palencia,"Torrejón de Ardoz",70,1492,125000,"LNER (London North Eastern Railway)",,"{""Aire acondicionado"",Wifi,Baño,Comida}",{},,"{""Palma de Mallorca"",Palencia,Valdemoro,Burgos}"
"Jorge Luis Monroy Arguello",1170830,7,correo_sin_arroba.com,"\+56 9 2617 5846",,,,2025-07-28,18/5/2023,-3,99333,Estepona,Estepona,37!!!,181,41000,Plusmar,Normal,"{Comida,Wifi,""Asientos reclinables""}",{},,{}
"Susana Lovato Valdés",99.999.999-K,5,wilmer.ohara@viajes.cl,"\+56 9 3881 0044",,,,2025-03-22,25/9/2027,-3,94416,"Alcalá de Henares",Avilés,92!!!,791,101000,"TransPennine Express",,"{Comida,Baño,Wifi}",{},,"{Linares,Paterna,Calahorra}"
"Francisca Agosto Salgado",99.999.999-K,3,amy_carter@viajes.cl,"\+56 9 1053 9950",,,,2025-12-04,441000,-9,78561,Tarragona,Málaga,46!!!,206,49000,"ETN Turistar",Normal,"{Comida,Wifi,TV}",{},,{}
"Pablo Reyes Juárez",99.999.999-K,7,nicolle@outlook.com,"\+56 2 2348 6713",,,,2025-12-04,441000,9,57948,Gandía,alcoy#,44!!!,3352,186000,"All Nippon Airways (ANA)",,{},"{""El Ejido""}","Clase ejecutiva",{}
"César Nazario Casillas",99.999.999-K,0,correo_sin_arroba.com,"\+56 2 7429 9329",,,,2025-09-16,6/9/2022,-5,13344,Calahorra,Palencia,85!!!,871,147000,"Great Western Railway (GWR)",,"{TV,Baño,Comida}",{},,{}
"Daniela Elizondo Carrillo",26124656,6,correo_sin_arroba.com,"\+56 2 4403 8026",Nocturno,"Más vida","Part time",2025-09-07,913000,-10,53156,Salamanca,"san fernando#",31!!!,132,42000,"Primera Plus",Normal,"{TV,Wifi,""Aire acondicionado""}",{},,{}
"Hugo Palacios Ozuna",99.999.999-K,8,correo_sin_arroba.com,"\+56 9 4354 1540","56 2 1109 2865",,,2025-09-07,17/9/2025,-10,75159,Alcoy,leganés#,84,1001,120000,"KTX (Corea del Sur)",,"{Calefacción,Agua,Baño}",{},,{}
"Roberto Gonzales Rosario",20389762,0,cassandra@viajes.cl,"\+56 9 8633 6826",,,,2025-11-28,6/2/2028,8,36506,Logroño,Málaga,17,3340,315000,"Air Canada",,{},"{Rivas-Vaciamadrid,Algeciras}","Clase ejecutiva",{}
"Cristian Merino Toro",99.999.999-K,7,correo_sin_arroba.com,"\+56 9 5841 5020",,,,2025-07-11,747000,-3,59247,Almería,Tarragona,36,174,19000,Megabus,Normal,"{Agua,TV,Baño}",{},,{}
"Laura Colunga Crespo",17990423,2,joanna.cartwright@turket.com,"\+56 9 7893 0255",,,,2025-08-17,9/11/2022,2,42327,Gandía,Marbella,39,421,71000,"ETN Turistar",Cama,"{""Asientos reclinables"",""Aire acondicionado"",TV}",{},,{}
"Sr. Guillermina Hernández Alemán",99.999.999-K,0,zelda@outlook.com,"\+56 9 5626 7706",,,,2026-05-02,22000,1,35237,Sagunto,"pozuelo de alarcón#",49,582,141000,"Southwest Airlines",,{},{},"Clase económica",{}
"Sta. Lola Santiago Martínez",23502347,6,maxwell_beatty@outlook.com,"\+56 9 8210 4644","56 4 5854 9879",,,2026-09-22,559000,8,47340,León,Badalona,77,2418,131000,"TGV (SNCF)",,"{Comida,Wifi,""Aire acondicionado"",Baño,TV}",{},,"{Logroño,Mérida,""Alcalá de Guadaira""}"
"Estela Barraza Osorio",3646364,5,correo_sin_arroba.com,"\+56 2 0676 5108",,,,2026-06-15,27/7/2021,-8,39929,"Roquetas de Mar",Gecho,80,2162,205000,"LATAM Airlines",,{},"{Algeciras,Torrevieja,Mérida,Alcobendas}","Primera clase",{}
"Clara Montes Rodríquez",99.999.999-K,1,dexter@turket.com,"\+56 9 5410 5096",,,,2025-12-09,7/4/2025,8,72941,Marbella,Málaga,70!!!,818,80000,"JR Central",,"{Baño,Agua,Comida}",{},,"{Guadalajara,""La Línea de la Concepción"",""Chiclana de la Frontera""}"
"Roberto Centeno Menchaca",22938559,3,correo_sin_arroba.com,"\+56 2 5925 8448","56 9 1978 4554",,,2026-08-07,645000,3,39236,Alcorcón,Sevilla,36,544,99000,"El Rápido Internacional",Semi-cama,"{TV,Comida,Agua}",{},,{}
"Clemente Caballero Alanis",99.999.999-K,7,correo_sin_arroba.com,"\+56 2 5584 3054","56 5 4951 1323","Más vida","Full time",2026-08-29,30/9/2025,-2,85752,Arrecife,málaga#,10!!!,2317,182000,EasyJet,,{},"{Málaga,Cuenta,""Collado Villalba"",Rivas-Vaciamadrid}","Primera clase",{}
"Sr. Sergio Torres Nevárez",99.999.999-K,3,agueda_prohaska@viajes.cl,"\+56 9 3192 5011",,,,2026-03-28,890000,1,98286,Almería,"San Fernando",41!!!,184,38000,ADO,Normal,"{Baño,TV,Calefacción}",{},,{}
"Cristina Montes Arreola",99.999.999-K,6,correo_sin_arroba.com,"\+56 9 6469 3013","56 5 6294 5717",,,2025-04-21,24/1/2020,3,22638,Getafe,"Torrejón de Ardoz",81!!!,2574,178000,"Air France",,{},"{""Talavera de la Reina""}","Clase ejecutiva",{}
"Sr. Barbara Zúñiga Ruiz",99.999.999-K,6,kirby@marmol.com,"\+56 2 8768 6857","56 5 8399 9015",,,2025-11-14,774000,8,48080,Benidorm,arrecife#,10!!!,3564,258000,"Great Western Railway (GWR)",,"{Baño,Agua,Wifi,""Aire acondicionado"",Comida,TV}",{},,"{Coslada,Majadahonda,Torrevieja,Orense,Fuengirola}"
"María Eugenia Aranda Dávila",99.999.999-K,3,jewel_heller@turket.com,"\+56 9 9056 3380","56 8 4660 1856",,,2025-11-03,515000,-9,27248,"Mollet del Vallés",gerona#,45,647,113000,FlixBus,Cama,"{""Aire acondicionado"",Calefacción,Baño}",{},,{}
"Josefina Badillo Anguiano",671890,5,correo_sin_arroba.com,"\+56 9 6702 0780",,,,2025-10-06,14/2/2023,2,63955,"Pozuelo de Alarcón","torrejón de ardoz#",31,305,65000,Plusmar,Normal,"{Calefacción,""Asientos reclinables"",""Aire acondicionado""}",{},,{}
