nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
Rosa Portillo Iglesias,24518261,9,rosa3031@wass.com,Rosaiglesias,jgvgJJ01U,\+56 2 7095 6550,7121,57039,Aniversario,497789,2025-04-29,280000,5
Rosa Portillo Iglesias,24518261,9,rosa3031@wass.com,Rosaiglesias,jgvgJJ01U,\+56 2 7095 6550,7121,57039,Aniversario,497790,2025-03-05,310000,5
Horacio Saucedo Campos,11902501,0,Horaciocampos@edubus.cal,Horaciocampos,TAy8UOdMyQr59ntI,\+56 9 5152 4241,3461,56386,Cena de Trabajo,497798,2025-01-22,388000,2
Horacio Saucedo Campos,11902501,0,Horaciocampos@edubus.cal,Horaciocampos,TAy8UOdMyQr59ntI,\+56 9 5152 4241,3461,56386,Cena de Trabajo,497799,2025-03-10,252000,2
Martín Casares Patiño,10068125,0,Martínpatiño@marmol.com,Martínpatiño,W6klsabFgU0zIwX,\+56 9 4595 4853,4829,56009,Cena de Trabajo,497803,2025-02-27,2065000,7
Julia Enríquez Orosco,23734448,0,Juliaorosco@edubus.cal,juenor,6f5ReiV86zPTqZaP,\+56 9 0555 3734,9719,56206,Vacaciones,497804,2025-04-25,708000,4
Julia Enríquez Orosco,23734448,0,Juliaorosco@edubus.cal,juenor,6f5ReiV86zPTqZaP,\+56 9 0555 3734,9719,56206,Vacaciones,497805,2026-01-04,200000,4
Ricardo Robledo Aguirre,16210157,9,ricardo9565@viajesanma.com,riroag,J56HiytYb,\+56 9 3842 0915,3748,56966,Vacaciones,497811,2025-04-12,504000,3
Ricardo Robledo Aguirre,16210157,9,ricardo9565@viajesanma.com,riroag,J56HiytYb,\+56 9 3842 0915,3748,56966,Vacaciones,497812,2025-03-29,930000,3
Ricardo Robledo Aguirre,16210157,9,ricardo9565@viajesanma.com,riroag,J56HiytYb,\+56 9 3842 0915,3748,56966,Vacaciones,497813,2025-05-25,435000,3
Mario Barraza Tamez,5547881,3,mario3450@outluc.com,mabata,UOFIdxw7Z,\+56 9 7899 0879,6044,56626,Salida con Familia,497814,2026-04-02,530000,2
Mario Barraza Tamez,5547881,3,mario3450@outluc.com,mabata,UOFIdxw7Z,\+56 9 7899 0879,6044,56626,Salida con Familia,497815,2026-03-27,268000,2
Jaime Caballero Nieves,4730953,0,jacani@marmol.com,jaime2828,27vJbCmYL,\+56 9 8751 1742,3973,56182,Vacaciones,497819,2026-03-08,720000,6
Jaime Caballero Nieves,4730953,0,jacani@marmol.com,jaime2828,27vJbCmYL,\+56 9 8751 1742,3973,56182,Vacaciones,497820,2025-07-17,180000,6
Jaime Caballero Nieves,4730953,0,jacani@marmol.com,jaime2828,27vJbCmYL,\+56 9 8751 1742,3973,56182,Vacaciones,497824,2025-03-22,1170000,6
Roberto Barragán Narváez,21042358,3,Robertonarváez@wass.com,roberto9947,2tenVArUhixwq,\+56 2 0409 1419,718,57281,Salida con Familia,497832,2025-06-08,269000,1
María Soledad Berríos Rincón,29003491,4,maría4237@wass.com,maría8540,s0CVfwXizU0sf,\+56 9 1035 6884,2713,56159,Cena de Trabajo,497833,2025-04-27,531000,3
María Soledad Berríos Rincón,29003491,4,maría4237@wass.com,maría8540,s0CVfwXizU0sf,\+56 9 1035 6884,2713,56159,Cena de Trabajo,497834,2025-04-18,372000,3
María Soledad Berríos Rincón,29003491,4,maría4237@wass.com,maría8540,s0CVfwXizU0sf,\+56 9 1035 6884,2713,56159,Cena de Trabajo,497835,2025-03-17,999000,3
Gilberto Montero Huerta,21077569,2,gilberto385@tourket.com,gimohu,gVXyZDG5,\+56 2 1949 1907,8920,57368,Aniversario,497839,2025-03-27,125000,1
Gilberto Montero Huerta,21077569,2,gilberto385@tourket.com,gimohu,gVXyZDG5,\+56 2 1949 1907,8920,57368,Aniversario,497845,2025-03-14,81000,1
Guillermina Rincón Ocampo,13756841,1,gurioc@wass.com,gurioc,fF0g2l8NnyL4f,\+56 9 2721 8365,7558,55982,Vacaciones,497849,2025-02-01,440000,5
Elsa Badillo Pulido,23004746,4,elsa1688@wass.com,elsa3862,DeX0YxoEVrgx,\+56 2 7838 8823,9417,57053,Aniversario,497850,2026-09-12,390000,5
Elsa Badillo Pulido,23004746,4,elsa1688@wass.com,elsa3862,DeX0YxoEVrgx,\+56 2 7838 8823,9417,57053,Aniversario,497851,2025-01-30,440000,5
