nombre,run,dv,correo,contrasena,telefono_contacto,puntos,etiqueta,fecha,monto,cantidad_personas
"Sergio Vázquez Sandoval",28522993,5,,aJddK9goDR,"+56 9 4316 4493",889,,,844000,7
"Miguel Ángel Lucero Cortés",21116168,4,,OjmZxlHDHiQgRax7,"+56 2 6630 9191",9065,,,645000,4
"Teodoro Perales Ríos",18070157,9,,27m73CtTnQuoLop,"+56 2 4267 2434",5,,,69000,6
"Rocio Solano Medrano",15624975,4,,zV8i8P6gP,"+56 9 1217 6036",4777,,,439000,5
"Débora Mota Flores",4685265,9,,u9bHQNzMsZSb9,"+56 2 1583 0924",8334,,,809000,6
"Alberto Nevárez Collazo",28798767,5,,4B9edxiHXGiUIm,"+56 2 3784 0868",3397,,,188000,9
"Sra. Virginia Rolón Saldaña",25091506,3,,KWFEdL3h,"+56 2 1964 7950",,,,783000,1
"Sra. María Lucio Gonzales",3280329,7,,pzq74tVT5zIpq,"+56 9 3337 5684",9946,,,879000,3
"Lucas Arreola Fajardo",18809837,6,,ckOiQFOTd3mg5y3Y,"+56 9 8063 3122",,,,779000,7
"Reina Hinojosa Guajardo",6090947,7,,Md8CI3pEo,"+56 9 0814 7767",6308,,,285000,5
"Jesús Feliciano Castellanos",27033003,4,,Okbr6a93r1uUcOSp,"+56 2 4511 2785",,,,632000,4
"Gabriela Colunga Mota",28680136,6,,wI8d34Wp1yHnh7Lf,"+56 2 8034 7841",2067,,,877000,7
"Sr. Roberto Iglesias Blanco",13181083,6,,4zqBKvbc0,"+56 2 1449 8374",,,,28000,4
"Sr. Cristobal Tirado Zamudio",7895922,0,,vDIEc0uLy1k1XO4,"+56 2 0603 8168",3406,,,486000,7
"Jaime Ramírez Cardenas",24216329,4,,LWXlUyGgF218MT,"+56 9 0160 8796",2797,,,601000,3
"Ester Palomo Díaz",20373766,0,,HxYamA780c,"+56 2 8442 4535",5247,,,361000,2
"José Barrios Delafuente",13416017,7,,hHljJ3L5,"+56 9 3057 9943",6765,,,780000,4
"Sta. Andrés Zamudio Castellanos",5071616,8,,0on85RgtTfgq4,"+56 2 8055 7179",8078,,,391000,5
"Mario Romo Escamilla",7622720,2,,L20r1dUqEfVP5UB,"+56 2 7304 3576",8650,,,353000,6
"Sra. Lucas Alonso Cervántez",10648564,0,,yvQ8w8GbWsNr,"+56 9 3007 6904",3133,,,157000,6
"Sra. Mateo Bustos Barragán",14307125,8,,qRu0nDt5,"+56 2 4571 7385",462,,,996000,7
"Florencia Cerda Aranda",3644021,5,,ec4Y9RUegC,"+56 2 9922 2149",6638,,,288000,1
"Gabriela Cardona Zayas",21663572,9,,j9baH7137xU,"+56 9 6316 2708",10,,,493000,2
"Daniel Alicea Terrazas",21250878,7,,j5zuW5h6VVvjH,"+56 9 4795 5071",7700,,,937000,4
"Sra. Lucas Alonso Cervántez",10648564,0,,yvQ8w8GbWsNr,"+56 9 3007 6904",3133,,,612000,9
"Lucas Arreola Fajardo",18809837,6,,ckOiQFOTd3mg5y3Y,"+56 9 8063 3122",,,,366000,8
"Susana Trejo Delvalle",9168687,0,,BCb4HC4jm,"+56 9 3339 8114",8986,,,341000,3
"Juana Chacón Villegas",7623163,5,,cDU6zrJIJx4,"+56 2 1914 9420",6697,,,713000,6
"Raquel Palacios Trujillo",7765742,3,,gRaMKgFZg3LM,"+56 2 1830 0034",5911,,,98000,8
"Joaquín Téllez Suárez",17934201,6,,XLf2xXNj173k,"+56 2 1870 8485",3282,,,926000,7
"José Emilio Cotto Griego",29501168,3,,Stnc72ZhzxkDBX,"+56 2 4565 9402",1158,,,852000,2
"Gregorio Sandoval Navarro",13767814,6,,aXRI8FH2jvI3Eff,"+56 2 2149 7791",8407,,,664000,7
"Carlos Olmos Mercado",8687016,9,,76f7zNfCO3fVpeKN,"+56 2 5142 5989",3752,,,164000,3
"Javier Verduzco Burgos",1794943,1,,55odAGS4x,"+56 2 2853 0968",1002,,,493000,9
"Lola de Jesús Montoya",411392,8,,jWu6D3WInvP,"+56 9 4764 0777",,,,40000,3
"Cecilia Cotto Porras",7696168,6,,3sqJMFGjFqM2,"+56 9 9075 8558",2665,,,441000,9
"Esteban Amaya Rosales",29760577,9,,8K5HDz7xx8,"+56 9 0331 9179",5651,,,551000,2
"Concepción Nava Lira",21682560,3,,ZV74M9NHdWsbMvOB,"+56 2 8088 5384",9922,,,918000,6
"Tomás Hidalgo Zepeda",8228851,2,,a5dqlCxGpUo91Z,"+56 2 7575 0203",5888,,,42000,8
"Sr. Rocio Beltrán Anaya",5758910,7,,kRg1PUvcVaig,"+56 9 4562 1588",803,,,608000,5
"Sofia Bueno Mendoza",24516954,3,,6C1AhwAiYs0sK,"+56 2 4525 9732",8955,,,964000,8
"David Saldivar Madera",18286642,4,,4XIHIC1e,"+56 9 1103 8733",6809,,,861000,5
"Tomás Hidalgo Zepeda",8228851,2,,a5dqlCxGpUo91Z,"+56 2 7575 0203",5888,,,639000,7
"Armando Haro Armenta",14757850,0,,rKI4Z3P9JI5O5k00,"+56 9 3787 5975",7424,,,203000,1
"María Soledad Abeyta Griego",23579952,8,,PEMCg7N9hZ5t,"+56 9 3936 9280",9416,,,43000,1
"Lucas Cerda Ledesma",9028312,2,,Hyyos6lrJ,"+56 2 4473 7895",1862,,,949000,10
"Berta Pabón Reyes",20965873,6,,FyD699NcEesevvGc,"+56 9 3158 0244",,,,913000,10
"Berta Alcántar Treviño",790018,5,,o8SRQ3MK611,"+56 9 8484 5692",5232,,,927000,8
"Sta. Fernando Miranda Delgado",13468976,0,,vj5jNdkH3w6BH2Q,"+56 9 9707 5239",8537,,,799000,4
"Débora Mota Flores",4685265,9,,u9bHQNzMsZSb9,"+56 2 1583 0924",8334,,,438000,4
"Mario Pérez Aguilera",596309,0,,xW5e6KHfDpGQ,"+56 9 9007 9290",6210,,,332000,6
"Lorenzo Galarza Castillo",18861928,5,,yj5QKRQgmirMuMS,"+56 9 2519 2670",1900,,,484000,8
"Pablo Vera Casanova",18210473,0,,I1PM8WdnqyU6,"+56 9 7435 9769",1935,,,44000,7
"Óscar Bétancourt Salazar",1045246,9,,wwpnfin7D7,"+56 9 0381 5616",416,,,644000,1
"Eva Rosales Munguía",26314413,7,,ZuqeCh9HJeSqvh,"+56 2 8843 2577",5817,,,747000,3
"Arturo Verdugo Serna",22564623,0,,aV58mZJ9SA3,"+56 9 6579 8093",,,,177000,9
"Eva Rosado Santiago",16104324,1,,rmtXMVGd4Nc6,"+56 2 4008 0534",,,,441000,2
"Raquel Palacios Trujillo",7765742,3,,gRaMKgFZg3LM,"+56 2 1830 0034",5911,,,22000,1
"Jorge Luis Gamez Guillen",12401104,2,,9hTLwJxW4,"+56 9 9483 3313",2475,,,396000,7
"Francisca Delao Cotto",11213839,6,,X8jxf8yuvBlswL5,"+56 9 1078 5689",9293,,,134000,2
"Salvador Patiño Guerrero",4210943,3,,1C7qxBFSzf,"+56 9 9105 9147",1538,,,347000,5
"Sra. Lucas Alonso Cervántez",10648564,0,,yvQ8w8GbWsNr,"+56 9 3007 6904",3133,,,470000,3
"Gonzalo Otero Meraz",4839613,7,,9nJLfPXnBv,"+56 9 4085 0365",7022,,,280000,3
"María del Carmen Arreola Suárez",26287096,6,,NRhfLadG5tlVb,"+56 2 6992 8685",8737,,,664000,7
"Sta. Sergio Jáquez Amaya",28715961,5,,7Tpo8iLf,"+56 9 3949 9515",927,,,559000,8
"José Emilio Briseño Hinojosa",17594006,4,,AsHb2MVd5e,"+56 9 1856 9490",5021,,,584000,9
"Felipe Pelayo Moreno",24166310,2,,XoqBjv1Cn52,"+56 2 5847 0721",993,,,469000,7
"Lilia Arteaga Velasco",6189259,2,,yyWbWvOlxN6FcwY,"+56 2 3009 1110",716,,,35000,8
"Timoteo Olivo Montenegro",7866704,6,,ygXrrRrT27C0KJy,"+56 2 5486 5673",1782,,,871000,8
"Graciela Vázquez Alonzo",9850851,2,,y4RgKxNGsVn,"+56 9 4279 1336",,,,32000,7
"Daniel Pichardo Rico",24197891,5,,B9QbN1PUpliIUu,"+56 2 8419 0166",,,,37000,5
"Victoria Manzanares Alemán",18858771,8,,9qfBVyvNafM1RBD,"+56 9 8296 0474",8697,,,509000,3
"Sr. Daniel Barrios Escamilla",26621839,0,,VQkCE0dyO5,"+56 9 5025 4057",5060,,,421000,6
"Sra. Vicente Tafoya Arredondo",23017133,5,,gHPZn1jIS8hH,"+56 2 1373 9074",9598,,,207000,3
"Andrés Madrid Escobedo",8528137,9,,suxB5f1cYVC,"+56 9 6888 9039",3516,,,160000,8
"Sra. Bernardo Malave Haro",22375535,2,,zemZV7WR,"+56 2 6853 1663",5212,,,96000,9
"Sta. Sara Jimínez Montalvo",15414501,1,,s8I62mOcj0,"+56 2 1642 2998",,,,11000,10
"Benjamín Arenas Saiz",10145350,1,,TH5TsAl5CTwdY,"+56 9 1665 1414",8974,,,645000,3
"Laura Barrera Almonte",15714200,1,,2NXQf5rmN6E8k,"+56 9 3306 3140",3290,,,336000,2
"Concepción Nava Lira",21682560,3,,ZV74M9NHdWsbMvOB,"+56 2 8088 5384",9922,,,890000,1
"Gloria Farías Piña",26435129,2,,iIow1wMZqJ2c,"+56 9 5123 0201",1349,,,522000,10
"Mateo Hinojosa Ramírez",26097310,1,,8xwUHR5tPVWu,"+56 9 1785 8405",9581,,,488000,5
"Ana Luisa Sanabria Salinas",28873736,6,,2Qrb0EKtNL,"+56 2 8186 4238",9348,,,725000,5
"Carlota Deleón Roybal",7314016,8,,g24HPpvYtFZiL3u,"+56 9 6501 7934",2601,,,646000,9
"Alicia Parra Cruz",18758573,2,,r50If1iUh62H,"+56 2 2357 2433",6654,,,335000,8
"Alberto Collazo Leal",26477194,5,,M32XkwI63HbA,"+56 2 1891 8942",,,,914000,6
"Sra. Martín Santacruz Preciado",4224138,1,,n644Xiwz6y4Z,"+56 9 1269 3038",,,,261000,3
"Sta. Andrea Ureña Águilar",3790417,6,,w37Td2WV5,"+56 2 0960 3048",3167,,,988000,6
"Emilio Bravo Márquez",14409674,8,,3IWuvzGPV7,"+56 9 9553 8355",3548,,,942000,7
"Federico Suárez Henríquez",29671869,5,,c8eQfkoswI,"+56 2 1724 7558",9138,,,738000,7
"Sr. Alfredo Rendón Cardenas",1358214,6,,BoGD7AGproLDzcy2,"+56 2 8366 3501",3687,,,376000,5
"Mariana Perales Echevarría",25372053,8,,jp5JNdud,"+56 9 7448 4728",9372,,,728000,6
"Elisa Esquivel Moreno",20741031,0,,m3A5KaPFWtwVP,"+56 2 5766 9885",976,,,412000,1
"Elisa Valdés Concepción",24518301,1,,T4Vwse3I7,"+56 9 7287 8796",3370,,,828000,3
"Salvador Valentín Duarte",9855693,7,,QpUQuzVx6uYQJX,"+56 9 9738 7745",3235,,,907000,7
"Emilia Hidalgo Carrera",4510885,3,,7n7uVZNoqCs,"+56 9 4562 6891",9924,,,774000,8
"Sta. Mercedes Arias Moya",13092032,6,,0POHdbgK,"+56 2 3764 7345",5710,,,606000,10
"Sra. Andrés Muro Quintana",18995041,1,,i2OmwHQAH,"+56 9 6244 7772",,,,515000,9
"Julio Esquibel Olivas",5795640,0,,9KqT3VrpFLk,"+56 2 7535 4964",5701,,,101000,10
"Armando Haro Armenta",14757850,0,,rKI4Z3P9JI5O5k00,"+56 9 3787 5975",7424,,,510000,2
"Octavio Irizarry Noriega",25323342,4,,hi5PFWGFn3,"+56 9 0935 6788",,,,334000,6
"Tomás Medrano Segovia",20507771,6,,ENIg7vj3t7U,"+56 9 5181 9815",383,,,269000,2
"Dorotea Urías Díaz",12325954,4,,bTY9DUWZc4M,"+56 9 6890 8170",4664,,,217000,3
"José Emilio Cotto Griego",29501168,3,,Stnc72ZhzxkDBX,"+56 2 4565 9402",1158,,,813000,5
"José María Téllez Valle",21957454,4,,Tw7uakU74flf,"+56 2 6582 6262",5331,,,756000,2
"Esteban Delagarza Lucio",8918532,0,,CPq7PRZ5q5A77vb,"+56 2 9112 1659",,,,253000,2
"Alberto Ochoa Alvarado",12545930,1,,8vOGL4X8wG3KVjHA,"+56 2 3379 1267",4464,,,41000,3
"José Emilio Alvarado Alcaraz",28386172,8,,UPZ6jcf76J,"+56 9 5720 3952",9868,,,993000,4
"Rocio Cardona Chávez",25436879,4,,6okccUaA7I3J7iS,"+56 9 1144 4215",5051,,,140000,9
"Carla Cervantes Padrón",10255455,4,,lJO5k2fVvVJo7,"+56 2 3229 2058",396,,,455000,4
"Patricio Robledo López",10361298,5,,I9X63JbqWDbe,"+56 9 5392 6298",,,,732000,2
"Sr. Guadalupe Jurado Lozada",6585524,3,,fjKot2SOv,"+56 9 6600 4295",4839,,,866000,7
"Luis Montemayor Naranjo",3557452,2,,ZK7Cty0y91FC2nO,"+56 9 5933 4649",,,,674000,5
"Sr. Lilia Garibay Farías",19836384,9,,9Fm54ZnBIZ,"+56 9 8158 9509",4766,,,103000,3
"Berta Feliciano Leal",364797,1,,fNAZP3H0wv,"+56 9 1858 0889",5101,,,340000,6
"Sta. Daniela Roldán Zayas",6862142,6,,8lm5JKSLBbFrUv,"+56 9 4937 8466",1882,,,412000,8
"Benjamín Henríquez Zavala",18347219,7,,6s7NoRYJUK,"+56 2 9446 7735",1653,,,992000,3
"Josefina Alanis Galarza",1499246,2,,l860kQyPFeJ0i6Qw,"+56 9 5891 5803",,,,162000,7
"Nicolás Matos Olmos",9177028,4,,w4KdZkWgWc3bWn12,"+56 2 8595 6763",,,,843000,5
"Sta. Fernando Camarillo Pelayo",17344307,1,,iZLEeuJZJ8Tk49Bx,"+56 2 1765 9118",1010,,,530000,10
"Dolores Girón Rendón",29023965,4,,P7zAHVFrTz,"+56 9 0196 4619",2961,,,576000,1
"Andrea Solorzano Vela",23146825,5,,JqmXDI0y,"+56 2 0575 6477",,,,91000,10
"César Galindo Alba",6794524,5,,avNeI0avb1,"+56 9 4228 4280",,,,637000,9
"Sra. Andrés Muro Quintana",18995041,1,,i2OmwHQAH,"+56 9 6244 7772",,,,853000,8
"Sta. Beatriz Gracia Águilar",26312485,5,,wtUQl98Wi,"+56 9 8092 9687",9815,,,146000,1
"Rocio Solano Medrano",15624975,4,,zV8i8P6gP,"+56 9 1217 6036",4777,,,284000,10
"Germán Maldonado Haro",17446599,4,,2fxPi2zmvS,"+56 2 8869 2073",4455,,,769000,3
"Sonia Ríos Rivero",23784564,4,,9y9FWi7XPHDBTMuZ,"+56 9 7323 0415",,,,728000,6
"Teresa Godínez Lira",21331457,5,,l8GS37WrT,"+56 9 3278 9081",,,,13000,6
"Blanca Castañeda Vergara",10820145,5,,3bZqGt0n1z0,"+56 2 4829 9296",4166,,,652000,10
"Catalina Saldaña Verduzco",11453582,1,,7ch92EYL,"+56 2 8488 3038",8048,,,923000,10
"Sra. Soledad Candelaria Valdés",8704580,8,,OZ5BJrzjB,"+56 9 9938 0261",8905,,,714000,1
