nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,etiqueta,fecha,monto,cantidad_personas
"Florencia Carrasquillo Villegas",16829004,7,Florenciavillegas@edubus.cal,Florenciavillegas,R41SQwlZ,,9227,"Cena de Trabajo",,920000,5
"Elena Rocha Carrasquillo",12709690,2,elena3446@tourket.com,Elenacarrasquillo,7opRvgbUG,,6925,"Cena de Trabajo",,912000,6
"Sr. Sara Toro Prieto",20761195,6,Sr.prieto@wass.com,Sr.prieto,2aFdLj6I7vKvVUL7,,661,"Salida con Amigos",,891000,9
"Luis Miguel Carvajal Alaniz",14667912,9,lumicaal@marmol.com,luis8211,nbjNkUmxb1ORl,,3577,Vacaciones,,672000,7
"Cristina Orosco Nieto",24510069,8,cristina3224@wass.com,crorni,6V72eg8xWW,,6643,"Cena de Trabajo",,184000,2
"Leticia Morales Montañez",4515034,8,,Leticiamontañez,qUsO3v3t2F9o1Sb,,6827,Vacaciones,,185000,1
"Timoteo Mejía Chapa",27553928,7,Timoteochapa@edubus.cal,timoteo8698,B1ZRQMYQi,,4306,Vacaciones,,1192000,8
"Sancho Cano Luna",27003492,6,sancho4123@tourket.com,Sancholuna,4ZqQn7ZpwFMdi,,3371,"Salida con Amigos",,920000,5
"Florencia Sanabria Rojas",6701568,1,florencia4714@outluc.com,flsaro,KXLUxHboAqzyY8np,,9382,Aniversario,,156000,1
"Anita Flórez Otero",18277020,5,anflot@wass.com,Anitaotero,281SXY73Mmq,,546,Vacaciones,,178000,1
"Sr. Alberto Alvarez Correa",15750494,0,sr.3472@edubus.cal,sr.1718,qz8Nsa4NbTzera,,3571,"Cena de Trabajo",,635000,5
"Daniel Marín Ríos",14665329,4,,damarí,mNY0uB5S3v,,8804,"Salida con Amigos",,1746000,9
"Susana Rodrígez Torres",8577365,8,,Susanatorres,d3Y3s1V1Yaa2qDbz,,1582,Aniversario,,600000,5
"Sr. Patricia Zarate Garza",25333459,2,,sr.4516,ElJJD4IrcuabN,,604,Aniversario,,1160000,10
"Sr. José Luis Lucero Ochoa",25231961,1,sr.5255@outluc.com,Sr.ochoa,zFJe4LlEG22,,8180,"Cena de Trabajo",,455000,7
"Lucia Barrientos Cruz",24569384,2,,Luciacruz,5R0BRu7psew8I,,4949,Aniversario,,1494000,9
"Andrea Loya Delatorre",28429935,3,anlode@viajesanma.com,Andreadelatorre,5eoSdEz4D,,8578,Vacaciones,,224000,4
"Lorena Bustamante Fonseca",26446738,1,lorena283@marmol.com,Lorenafonseca,NaJIm2H4pM054VzO,,1701,"Salida con Amigos",,642000,6
"Sr. Reina Anguiano Tovar",2816156,5,sr.5629@outluc.com,Sr.tovar,OSIiqbuwCQ3o,,6586,"Salida con Amigos",,1160000,8
"Sra. María Soledad Villareal Palomino",9358508,9,Sra.palomino@tourket.com,srmasovipa,B3GqvC7r5,,3067,"Cena de Trabajo",,655000,5
"Margarita Alcala Ochoa",25810166,9,margarita8368@viajesanma.com,Margaritaochoa,qgaN28iu564Gx,,2918,Vacaciones,,1305000,9
"Laura Arriaga Cisneros",12231617,3,laura7560@edubus.cal,laura7461,ia8RXTJja3l3fd,,2039,"Salida con Amigos",,528000,8
"Sr. Rafael Corrales Tamayo",10722676,1,Sr.tamayo@marmol.com,Sr.tamayo,2ViGdvG7f4q1D,,6814,"Salida con Familia",,504000,3
"Carlos Montenegro Orosco",15303522,9,carlos4369@tourket.com,camoor,Of0rzWhrk,,7625,Aniversario,,594000,3
"Guillermo Murillo Roybal",18276282,2,Guillermoroybal@tourket.com,guillermo4845,VACBd5OT0I9QkMJo,,461,"Cena de Trabajo",,624000,8
"Lorena Bustamante Fonseca",26446738,1,lorena283@marmol.com,Lorenafonseca,NaJIm2H4pM054VzO,,1701,Aniversario,,450000,9
"Julio Sepúlveda Pérez",5177056,0,,julio7167,mcy9qOuYV3RpeN,,2878,Aniversario,,366000,3
"Lorena Bustamante Fonseca",26446738,1,,Lorenafonseca,NaJIm2H4pM054VzO,,1701,Aniversario,,1336000,8
"Eduardo Serna Alejandro",27466408,8,Eduardoalejandro@tourket.com,eduardo2214,JocjK7N9er1j4RPZ,,3104,"Salida con Amigos",,88000,1
"Ramona Macías Mejía",7412576,0,ramona2098@tourket.com,Ramonamejía,EcE6QE3L,,9282,"Salida con Familia",,1092000,6
"César Meza Reséndez",5888168,6,,césar4545,KOZwh141,,3632,Vacaciones,,294000,2
"Ana María Villa Mayorga",10421631,5,,Anamayorga,5LinLchFUs7,,9239,Aniversario,,770000,7
"Sr. Alejandra Pacheco Pelayo",29806940,7,Sr.pelayo@viajesanma.com,sralpape,8nbX6z78VaV0V9rj,,538,Vacaciones,,366000,3
"Gonzalo Marín Grijalva",25527328,0,,gonzalo9628,ibjH3YG0c3w,,1402,"Cena de Trabajo",,207000,3
"Octavio Trejo Gaytán",24488902,6,,octrga,q2uDXo2C5C4,,516,Aniversario,,168000,2
"Sta. Ana Luisa Gil Jasso",23616306,7,stanlugija@marmol.com,Sta.jasso,0orYxI8iat598QA,,9276,"Cena de Trabajo",,856000,8
"Jerónimo Valles Reynoso",3422721,7,,jevare,guUbEAbRS9Hi1q,,8083,Vacaciones,,87000,3
"María Teresa Valdivia Lara",2213076,5,matevala@outluc.com,matevala,E4srazKN1pvV,,4986,"Salida con Amigos",,680000,8
"Ignacio Guardado Ledesma",1180812,3,ignacio6441@outluc.com,ignacio5600,IzQHgsVhL7,,3641,"Salida con Amigos",,616000,4
"Ana Luisa Rodríquez Armendáriz",27514893,8,,anluroar,aH6vugcTjHalPS,,4046,Vacaciones,,585000,9
"Eduardo Jáquez Enríquez",29662950,2,,Eduardoenríquez,kvzf0ABvrUxTXQo1,,3288,"Salida con Familia",,192000,3
"Sta. César Gaona Corrales",2292676,4,Sta.corrales@edubus.cal,sta.6000,jmVQKhvk3NO1X,,8674,"Salida con Amigos",,326000,2
"Carolina Montoya Pabón",29024140,5,carolina1400@edubus.cal,carolina247,DEzOerwH2,,7113,"Cena de Trabajo",,385000,5
"Francisca Mondragón de Jesús",27574865,0,frmodeje@marmol.com,frmodeje,q2ruUIBCo,,5064,"Salida con Amigos",,346000,2
"Sra. Virginia Chacón Alanis",25705556,6,Sra.alanis@viajesanma.com,Sra.alanis,u871TkZQh7Bdy7,,9341,"Cena de Trabajo",,1015000,7
"Yolanda Serrato Pérez",24562093,4,,yosepé,ZP5sJYbwG,,8069,"Salida con Amigos",,576000,9
"Sta. Ramón Pineda de Anda",9867680,5,strapidean@tourket.com,strapidean,BaZezig1Wg,,5189,Vacaciones,,1190000,7
"Horacio Ortega Guerra",4425025,0,hoorgu@tourket.com,Horacioguerra,hYbSdY69a0mWw,,5400,"Salida con Amigos",,692000,4
"Federico Correa Holguín",21006442,7,federico2044@wass.com,federico4219,j88GfezC4,,427,Vacaciones,,392000,8
"Rosario Ortiz Loera",9349144,0,roorlo@wass.com,roorlo,E3Wn1GJq,,2660,Aniversario,,385000,5
"Mateo Ulibarri Valdés",8609239,5,mateo4875@edubus.cal,maulva,HZCB4wovVUaXWLX,,9156,Aniversario,,824000,8
"Luis Miguel Coronado Villaseñor",14063249,0,luis1645@wass.com,Luisvillaseñor,2URW6kLO4,,6784,"Cena de Trabajo",,1158000,6
"Homero Maldonado Ureña",25095928,1,,homaur,fqtVIZ99Bd59StL,,4819,Aniversario,,282000,3
"Lilia Duarte Montalvo",28219410,4,lilia2334@outluc.com,Liliamontalvo,HdnsyV6sftcWM,,9196,"Salida con Amigos",,396000,4
"Silvia Prado Núñez",12875314,1,,Silvianúñez,P0EU3v587JAmSdcd,,388,"Salida con Familia",,62000,1
"Ángela Saavedra Toledo",7905727,4,,Ángelatoledo,wm5XdMpp,,5980,"Cena de Trabajo",,848000,8
"Sr. José Eduardo Palomo Carrasco",20569782,9,srjoedpaca@marmol.com,Sr.carrasco,9r4Zmi7RN,,598,"Salida con Amigos",,512000,8
"Mariana Rocha Acuña",3126175,9,maroac@viajesanma.com,mariana2898,Sr5uDWHrUzw03,,3090,"Salida con Amigos",,486000,3
"Francisco Montalvo Montenegro",26202071,1,frmomo@edubus.cal,Franciscomontenegro,SzCRglxBL5,,9234,Vacaciones,,693000,9
"Sta. Javier Salcedo Padrón",20467390,0,sta.4200@wass.com,Sta.padrón,VaRGuVlvQU4Z61F,,9288,"Cena de Trabajo",,870000,5
"Carlos Perales Benavídez",6538273,3,,capebe,PU2OMpts0d2kDiZ,,9187,"Salida con Amigos",,144000,2
"Reina Orosco Hernandes",7847898,5,reorhe@tourket.com,reina273,8fN949KIMay,,471,"Cena de Trabajo",,924000,6
"Agustín Mejía Garica",9597700,6,,agustín8219,kOwKw05d53p,,2669,"Cena de Trabajo",,632000,8
"Sra. Marisol Centeno Mata",5895955,3,Sra.mata@edubus.cal,sra.7411,ytA30dY3kl7okH,,1246,Aniversario,,184000,2
"Samuel Tello Mena",3361257,5,samuel8954@viajesanma.com,samuel878,iLGw02qd5W,,7305,"Salida con Amigos",,1008000,8
"Miguel Galarza Santillán",23233704,4,,miguel9769,cGKW1bcCFqV,,5944,"Cena de Trabajo",,1290000,10
"Débora Jasso Viera",11724791,0,,débora5815,UrV78sAfEmG,,5637,"Salida con Amigos",,522000,6
"Sra. Cristobal Puente Trujillo",15795003,7,srcrputr@outluc.com,Sra.trujillo,Frv1YN3glTD,,3236,"Salida con Amigos",,336000,6
"Graciela Haro Ocampo",3522707,5,Gracielaocampo@edubus.cal,grhaoc,9qkKRUQX,,6996,Aniversario,,117000,1
"Sra. Hugo Abrego Camacho",22397285,3,,srhuabca,sb7ZHiVI4anN,,5907,"Cena de Trabajo",,254000,2
"Reina Zúñiga Ybarra",21753950,1,,rezúyb,BK3VSlwMx9Gas2,,8172,Aniversario,,555000,3
"Raquel González Pizarro",19049201,0,Raquelpizarro@wass.com,ragopi,CaziZh1CLZCOHM1R,,6495,Vacaciones,,1194000,6
"Mercedes Nava Leal",24978391,9,Mercedesleal@outluc.com,Mercedesleal,b5dGGV9oXf4wPABq,,7935,Vacaciones,,225000,3
"Jaime Ordóñez Cuellar",1204296,5,,jaime1387,aX42oRcOlNniZK,,3371,Vacaciones,,1520000,10
"Gerardo Niño Flores",13124873,3,genifl@outluc.com,genifl,D16z4v4CuGk4A0TN,,9908,"Cena de Trabajo",,48000,2
"Ramona Brito Flores",9717094,0,rabrfl@viajesanma.com,rabrfl,mtM5QirMAj,,5577,"Salida con Amigos",,772000,4
"Margarita Polanco Moya",8687703,1,,Margaritamoya,OCrV9EaYRtLg6XMs,,1984,"Cena de Trabajo",,820000,5
"Enrique Casares Tejada",12221764,7,encate@edubus.cal,encate,jd8JBXSl5b3U0co,,9881,"Salida con Amigos",,340000,2
"Clemente Vallejo Ávalos",15464524,1,,clemente4599,74OMfY8POm,,4508,"Cena de Trabajo",,124000,2
"Lilia Duarte Montalvo",28219410,4,lilia2334@outluc.com,Liliamontalvo,HdnsyV6sftcWM,,9196,"Salida con Amigos",,820000,10
"Marcela Chávez Limón",16668741,1,,marcela884,xvCOOtcU9tDwIbv,,2309,"Salida con Amigos",,1116000,6
"Antonio Avilés Carrero",4068595,2,,anavca,4odO0X1MdVool,,1953,"Cena de Trabajo",,300000,3
"Horacio Bernal Jasso",2754374,0,horacio6773@outluc.com,Horaciojasso,QozhDC7D,,226,Vacaciones,,952000,8
"Carlota Escobedo Nava",13872531,6,,caesna,N5LhPVBgQ,,470,Vacaciones,,1200000,6
"Víctor Palomo Arguello",27198441,3,,vípaar,IeT8Ftd61IAPTaW,,259,Vacaciones,,880000,10
"Rodrigo Cotto León",21029534,8,,Rodrigoleón,qHgCd8D2,,8596,"Salida con Amigos",,152000,2
"Conchita Roybal Almonte",23286973,9,conchita5130@wass.com,Conchitaalmonte,C0jeecj6e4HkTdBs,,9763,Vacaciones,,752000,4
"Sta. Juan Carlos Fuentes Avilés",19751523,6,stjucafuav@tourket.com,stjucafuav,BKZYGp8n6,,7185,Aniversario,,176000,2
"Graciela Haro Ocampo",3522707,5,Gracielaocampo@edubus.cal,grhaoc,9qkKRUQX,,6996,Aniversario,,99000,3
"Cristian Almanza Manzanares",2988560,5,cristian2851@wass.com,cristian3328,epp91PUvaPq,,9365,Vacaciones,,376000,2
"Alicia Casares Rojas",20716494,1,alicia4580@outluc.com,alicia4395,QmoCw0woj01Y,,8814,Aniversario,,131000,1
"Sra. José Luis Zamudio Perea",25209094,0,sra.1155@marmol.com,srjoluzape,tS12tXtH,,8405,"Salida con Amigos",,670000,10
"Julia León Osorio",13093456,0,julia226@marmol.com,julia6161,4DDKErql4egvkFN,,9800,"Cena de Trabajo",,250000,5
"Alberto Villaseñor Almanza",27660213,6,,alberto6037,nM77Risyoo0hpCy,,2459,"Cena de Trabajo",,336000,2
"Mario Ulibarri Morales",5765873,8,Mariomorales@viajesanma.com,Mariomorales,NsBvlD6S,,9345,"Salida con Familia",,1068000,6
"Cristian Montero Cerda",22331770,7,crmoce@outluc.com,Cristiancerda,F5FabHub,,7883,Aniversario,,498000,6
"Josefina Zamora Valdez",15498801,7,josefina9036@edubus.cal,josefina9024,0z5BH3FSNcquGLf,,2926,Vacaciones,,801000,9
"Sr. Samuel Badillo Villalobos",15481521,0,sr.8345@marmol.com,srsabavi,RA1rIZjFendP,,4541,Aniversario,,552000,8
"José Eduardo Acevedo Rubio",9858148,0,joedacru@edubus.cal,Josérubio,edqv4RX9uXpoXX,,3981,"Salida con Amigos",,1638000,9
"Soledad Colunga Montenegro",13269894,5,,soledad6754,1t1JPrVkQG2AvEx,,9719,"Salida con Amigos",,399000,7
"Beatriz Atencio Tejada",7947423,1,Beatriztejada@edubus.cal,beatte,wEo29ZRWX,,2597,"Salida con Familia",,630000,6
"Lourdes Huerta Padilla",15807199,1,,lohupa,mP3peISDv,,9233,Vacaciones,,486000,9
"Sra. Tomás Guillen Muñiz",22220018,0,sra.4568@wass.com,Sra.muñiz,8Qz8xPVhplFuN1J,,8620,Aniversario,,321000,3
"María Luisa Castro Hernández",28199035,7,,maría1606,HPINc7HeaQqpzV1,,9071,Aniversario,,1200000,8
"Isabel Ontiveros Jiménez",4300455,7,isabel9164@viajesanma.com,isabel7276,jCp2OTbo0e,,6074,"Salida con Amigos",,276000,4
"Homero Maldonado Ureña",25095928,1,,homaur,fqtVIZ99Bd59StL,,4819,Aniversario,,350000,7
"María del Carmen Córdova Rodarte",1167993,5,,Maríarodarte,4NzdGTGF,,5197,Vacaciones,,174000,2
"María Elena Delacrúz Perales",14106450,9,maeldepe@wass.com,Maríaperales,qYHxgfry4Msd,,3294,"Cena de Trabajo",,352000,2
"Alicia Sierra Domínguez",18697964,8,alsido@viajesanma.com,Aliciadomínguez,80UDKUiAc,,8974,"Salida con Amigos",,747000,9
"Silvia Cabán Peralta",7593607,9,,sicape,S5pe1iM2TKAYRh5,,9541,"Salida con Familia",,1267000,7
"Diana Valdés Lucero",13030490,7,diana7475@viajesanma.com,diana3276,KoEGgmdMt7IHenQf,,5231,Vacaciones,,72000,4
"Martín Esquibel Casanova",5469434,2,,maesca,6wdyFMhT,,8683,Aniversario,,768000,8
"Jerónimo Canales Anguiano",5622477,7,jecaan@viajesanma.com,jerónimo2448,bhSbaYZHl0EKCe0,,4208,"Salida con Amigos",,166000,2
"Marcos Ayala Arevalo",18975329,2,Marcosarevalo@tourket.com,maayar,AFD6ziTyTLOJm1b7,,3644,"Salida con Amigos",,1048000,8
"Francisca Lemus Zambrano",6700810,3,francisca103@marmol.com,frleza,8QH41ldbbYYuarw,,7696,"Salida con Familia",,189000,3
"Sra. Gonzalo Rael Leal",9610795,1,sra.8312@wass.com,Sra.leal,vMnlWzZznVJ1tS,,8530,Vacaciones,,732000,6
"Mercedes Nava Leal",24978391,9,Mercedesleal@outluc.com,Mercedesleal,b5dGGV9oXf4wPABq,,7935,"Salida con Amigos",,385000,7
"Gerardo Niño Flores",13124873,3,genifl@outluc.com,genifl,D16z4v4CuGk4A0TN,,9908,"Salida con Amigos",,116000,2
"Margarita Polanco Moya",8687703,1,Margaritamoya@viajesanma.com,Margaritamoya,OCrV9EaYRtLg6XMs,,1984,"Cena de Trabajo",,1086000,6
"Soledad Guerra Gamboa",8624729,1,Soledadgamboa@marmol.com,soledad7248,Qlg7NG9okBZ,,7730,Vacaciones,,1218000,7
"Enrique Ceja Laureano",14980046,8,enrique2858@wass.com,enrique2802,exgTN5w6,,2414,"Cena de Trabajo",,580000,10
"José María Acuña Sedillo",19536477,0,,Josésedillo,ofmWH2W49mh,,4698,"Salida con Familia",,1098000,9
"Rosa Cardona Loya",29725884,2,rocalo@edubus.cal,Rosaloya,Nn857ZreP,,7927,Aniversario,,76000,1
