nombre,run,dv,correo,contrasena,telefono_contacto,puntos,etiqueta,fecha,monto,cantidad_personas
"Sergio Vázquez Sandoval",28522993,5,,aJddK9goDR,"\+56 9 4316 4493",889,,fecha-1-2023,-844000,7
"Miguel Ángel Lucero Cortés",21116168,4,,"OjmZxlHDHiQgRax7 example","\+56 2 6630 9191","+89 8417 1089",,,645000,4
"Teodoro Perales Ríos",15.080.494,9,,27m73CtTnQuoLop,"\+56 2 4267 2434","+61 7757 1736",,fecha-4-2021,-69000,6
"Rocio Solano Medrano",12.535.069,4,,"zV8i8P6gP example","\+56 9 1217 6036","+77 8128 7691",,fecha-10-2022,439000,5
"Débora Mota Flores",15.932.993,9,,u9bHQNzMsZSb9,"\+56 2 1583 0924",8334,,,809000,6
"Alberto Nevárez Collazo",28798767,5,,4B9edxiHXGiUIm,"\+56 2 3784 0868",3397,,fecha-1-2027,-188000,9
"Sra. Virginia Rolón Saldaña",25091506,3,,KWFEdL3h,"\+56 2 1964 7950",,,,-783000,1
"Sra. María Lucio Gonzales",30.093.187,7,,"pzq74tVT5zIpq example","\+56 9 3337 5684","+94 5611 2398",,,-879000,3
"Lucas Arreola Fajardo",31.053.170,6,,ckOiQFOTd3mg5y3Y,"\+56 9 8063 3122","+63 2079 4906",,fecha-10-2021,779000,7
"Reina Hinojosa Guajardo",6090947,7,,"Md8CI3pEo example","\+56 9 0814 7767","+70 6710 4757",,,-285000,5
"Jesús Feliciano Castellanos",27033003,4,,Okbr6a93r1uUcOSp,"\+56 2 4511 2785","+87 7622 5061",,,632000,4
"Gabriela Colunga Mota",28680136,6,,"wI8d34Wp1yHnh7Lf example","\+56 2 8034 7841","+85 1340 1103",,fecha-11-2023,-877000,7
"Sr. Roberto Iglesias Blanco",13181083,6,,"4zqBKvbc0 example","\+56 2 1449 8374","+82 7100 8483",,,28000,4
"Sr. Cristobal Tirado Zamudio",7895922,0,,"vDIEc0uLy1k1XO4 example","\+56 2 0603 8168",3406,,fecha-7-2023,486000,7
"Jaime Ramírez Cardenas",32.174.463,4,,LWXlUyGgF218MT,"\+56 9 0160 8796",2797,,,601000,3
"Ester Palomo Díaz",20373766,0,,"HxYamA780c example","\+56 2 8442 4535",5247,,fecha-2-2024,361000,2
"José Barrios Delafuente",13416017,7,,hHljJ3L5,"\+56 9 3057 9943",6765,,,780000,4
"Sta. Andrés Zamudio Castellanos",5071616,8,,0on85RgtTfgq4,"\+56 2 8055 7179",8078,,,391000,5
"Mario Romo Escamilla",7622720,2,,"L20r1dUqEfVP5UB example","\+56 2 7304 3576","+57 8489 9082",,fecha-8-2028,353000,6
"Sra. Lucas Alonso Cervántez",10648564,0,,yvQ8w8GbWsNr,"\+56 9 3007 6904","+99 6076 4269",,fecha-3-2024,157000,6
"Sra. Mateo Bustos Barragán",14307125,8,,"qRu0nDt5 example","\+56 2 4571 7385",462,,,-996000,7
"Florencia Cerda Aranda",2.521.706,5,,"ec4Y9RUegC example","\+56 2 9922 2149","+59 1366 2736",,,-288000,1
"Gabriela Cardona Zayas",21663572,9,,j9baH7137xU,"\+56 9 6316 2708",10,,fecha-1-2020,-493000,2
"Daniel Alicea Terrazas",14.845.715,7,,"j5zuW5h6VVvjH example","\+56 9 4795 5071","+89 9508 4587",,fecha-9-2025,-937000,4
"Sra. Lucas Alonso Cervántez",17.920.624,0,,yvQ8w8GbWsNr,"\+56 9 3007 6904","+66 9124 9148",,,612000,9
"Lucas Arreola Fajardo",18809837,6,,"ckOiQFOTd3mg5y3Y example","\+56 9 8063 3122","+59 4401 7351",,,366000,8
"Susana Trejo Delvalle",11.938.357,0,,BCb4HC4jm,"\+56 9 3339 8114","+83 6260 6406",,fecha-3-2027,-341000,3
"Juana Chacón Villegas",7623163,5,,"cDU6zrJIJx4 example","\+56 2 1914 9420",6697,,,-713000,6
"Raquel Palacios Trujillo",7765742,3,,gRaMKgFZg3LM,"\+56 2 1830 0034","+53 9446 2297",,fecha-7-2024,-98000,8
"Joaquín Téllez Suárez",15.351.376,6,,"XLf2xXNj173k example","\+56 2 1870 8485","+71 2726 4154",,fecha-12-2021,-926000,7
"José Emilio Cotto Griego",29501168,3,,"Stnc72ZhzxkDBX example","\+56 2 4565 9402",1158,,,-852000,2
"Gregorio Sandoval Navarro",13767814,6,,aXRI8FH2jvI3Eff,"\+56 2 2149 7791",8407,,fecha-9-2028,664000,7
"Carlos Olmos Mercado",16.960.793,9,,76f7zNfCO3fVpeKN,"\+56 2 5142 5989",3752,,,164000,3
"Javier Verduzco Burgos",24.134.036,1,,"55odAGS4x example","\+56 2 2853 0968","+52 5106 1284",,,493000,9
"Lola de Jesús Montoya",411392,8,,"jWu6D3WInvP example","\+56 9 4764 0777","+77 6491 5550",,,40000,3
"Cecilia Cotto Porras",7696168,6,,"3sqJMFGjFqM2 example","\+56 9 9075 8558","+67 5432 6341",,fecha-3-2030,441000,9
"Esteban Amaya Rosales",21.745.257,9,,"8K5HDz7xx8 example","\+56 9 0331 9179","+63 4040 2583",,,-551000,2
"Concepción Nava Lira",25.464.156,3,,"ZV74M9NHdWsbMvOB example","\+56 2 8088 5384","+99 8122 1631",,,-918000,6
"Tomás Hidalgo Zepeda",8228851,2,,"a5dqlCxGpUo91Z example","\+56 2 7575 0203",5888,,,42000,8
"Sr. Rocio Beltrán Anaya",2.698.120,7,,kRg1PUvcVaig,"\+56 9 4562 1588","+71 6560 1960",,,608000,5
"Sofia Bueno Mendoza",24516954,3,,6C1AhwAiYs0sK,"\+56 2 4525 9732","+96 2218 9028",,fecha-10-2021,-964000,8
"David Saldivar Madera",29.497.558,4,,"4XIHIC1e example","\+56 9 1103 8733",6809,,fecha-9-2021,-861000,5
"Tomás Hidalgo Zepeda",8228851,2,,"a5dqlCxGpUo91Z example","\+56 2 7575 0203","+71 4525 2723",,,-639000,7
"Armando Haro Armenta",14757850,0,,rKI4Z3P9JI5O5k00,"\+56 9 3787 5975","+85 2436 3283",,,-203000,1
"María Soledad Abeyta Griego",12.041.298,8,,PEMCg7N9hZ5t,"\+56 9 3936 9280","+74 7915 6030",,fecha-7-2023,43000,1
"Lucas Cerda Ledesma",9028312,2,,Hyyos6lrJ,"\+56 2 4473 7895",1862,,,-949000,10
"Berta Pabón Reyes",4.925.849,6,,FyD699NcEesevvGc,"\+56 9 3158 0244",,,,913000,10
"Berta Alcántar Treviño",790018,5,,o8SRQ3MK611,"\+56 9 8484 5692",5232,,,-927000,8
"Sta. Fernando Miranda Delgado",17.774.287,0,,vj5jNdkH3w6BH2Q,"\+56 9 9707 5239",8537,,fecha-9-2020,799000,4
"Débora Mota Flores",4685265,9,,u9bHQNzMsZSb9,"\+56 2 1583 0924","+74 6129 5841",,,-438000,4
"Mario Pérez Aguilera",32.480.048,0,,"xW5e6KHfDpGQ example","\+56 9 9007 9290",6210,,fecha-6-2026,332000,6
"Lorenzo Galarza Castillo",18861928,5,,"yj5QKRQgmirMuMS example","\+56 9 2519 2670","+55 5727 3063",,,-484000,8
"Pablo Vera Casanova",18210473,0,,"I1PM8WdnqyU6 example","\+56 9 7435 9769",1935,,fecha-3-2022,44000,7
"Óscar Bétancourt Salazar",1045246,9,,"wwpnfin7D7 example","\+56 9 0381 5616",416,,fecha-4-2025,644000,1
"Eva Rosales Munguía",24.750.794,7,,ZuqeCh9HJeSqvh,"\+56 2 8843 2577","+79 1978 8258",,,-747000,3
"Arturo Verdugo Serna",18.199.537,0,,aV58mZJ9SA3,"\+56 9 6579 8093",,,,177000,9
"Eva Rosado Santiago",1.012.828,1,,"rmtXMVGd4Nc6 example","\+56 2 4008 0534",,,,441000,2
"Raquel Palacios Trujillo",6.976.233,3,,gRaMKgFZg3LM,"\+56 2 1830 0034","+66 7529 8993",,,22000,1
"Jorge Luis Gamez Guillen",12401104,2,,"9hTLwJxW4 example","\+56 9 9483 3313",2475,,,396000,7
"Francisca Delao Cotto",13.147.490,6,,X8jxf8yuvBlswL5,"\+56 9 1078 5689","+90 4851 3533",,,134000,2
"Salvador Patiño Guerrero",229.051,3,,1C7qxBFSzf,"\+56 9 9105 9147",1538,,,-347000,5
"Sra. Lucas Alonso Cervántez",10648564,0,,"yvQ8w8GbWsNr example","\+56 9 3007 6904","+81 1314 9193",,fecha-5-2023,-470000,3
"Gonzalo Otero Meraz",10.003.074,7,,"9nJLfPXnBv example","\+56 9 4085 0365",7022,,,-280000,3
"María del Carmen Arreola Suárez",27.805.046,6,,NRhfLadG5tlVb,"\+56 2 6992 8685",8737,,fecha-11-2027,-664000,7
"Sta. Sergio Jáquez Amaya",28715961,5,,7Tpo8iLf,"\+56 9 3949 9515",927,,,-559000,8
